PROVINCE,Case_Lag1,Case_Lag2,Case_Lag3,Case_ratio
Nonthaburi,0.082886726,1.161062892,1.01396895,0.412567125
Nonthaburi,-0.553245287,0.081622669,1.21108378,0.461557609
Nonthaburi,-0.498620207,-0.553630102,0.097830887,0.469188707
Nonthaburi,-0.490111425,-0.499080524,-0.557320709,0.221951131
Nonthaburi,-0.765784803,-0.490583502,-0.501062405,0.229983244
Nonthaburi,-0.756828884,-0.765875853,-0.492299221,0.443006406
Nonthaburi,-0.51930506,-0.756932313,-0.776214902,1.114191523
Nonthaburi,0.229075798,-0.519736786,-0.766991212,1.734896377
Nonthaburi,0.92117045,0.227609683,-0.52236571,3.04870573
Nonthaburi,2.38608638,0.918747744,0.248390837,4.139174222
Nonthaburi,3.601974104,2.381638914,0.961178288,2.299634179
Nonthaburi,1.550861052,3.595846077,2.469893446,0.993194986
Nonthaburi,0.094162955,1.547568008,3.722134753,0.585491996
Nonthaburi,-0.36043162,0.092883313,1.609695883,0.690320569
Nonthaburi,-0.243546285,-0.361082936,0.109444262,0.876256373
Nonthaburi,-0.036225245,-0.244359157,-0.358742145,0.802127989
Nonthaburi,-0.118879437,-0.037324669,-0.238362079,0.453414127
Nonthaburi,-0.507700303,-0.119864619,-0.024842389,0.468847887
Nonthaburi,-0.490491444,-0.50814807,-0.109967842,0.468305413
Nonthaburi,-0.491096311,-0.490962996,-0.510413985,0.975878856
Nonthaburi,0.074855226,-0.491567026,-0.492690601,1.264962003
Nonthaburi,0.397187006,0.07360227,-0.493313553,2.197266214
Nonthaburi,1.43671933,0.395488533,0.089559255,1.229935175
Nonthaburi,0.3581316,1.433584049,0.421528368,0.762933326
Nonthaburi,-0.162582038,0.356487108,1.492141461,0.641902599
Nonthaburi,-0.297533003,-0.163506816,0.381305252,2.124107174
Nonthaburi,1.355145969,-0.298271256,-0.154977098,2.890529792
Nonthaburi,2.209717981,1.352123436,-0.293962935,3.327318565
Nonthaburi,2.696743614,2.205514286,1.408129155,1.693812949
Nonthaburi,0.875361849,2.691866768,2.288251843,0.925510746
Nonthaburi,0.018694075,0.873002459,2.789838958,1.171298875
Nonthaburi,0.292751299,0.017518743,0.914000065,1.719304446
Nonthaburi,0.903785228,0.291197174,0.031718953,1.328011744
Nonthaburi,0.467488355,0.901386551,0.313970159,3.796739411
Nonthaburi,3.220154467,0.465692714,0.943273269,3.611369066
Nonthaburi,3.013463922,3.214554179,0.493931643,1.918777057
Nonthaburi,1.126199998,3.008149315,3.328899168,1.098478173
Si Sa Ket,0.078905818,-0.268239257,-0.024180349,0.44161108
Si Sa Ket,-0.21096322,0.089307229,-0.251602571,0.138014414
Si Sa Ket,-0.634406138,-0.201509495,0.130310658,0.227682462
Si Sa Ket,-0.509341195,-0.6263368,-0.180325185,0.165595357
Si Sa Ket,-0.595937485,-0.500862975,-0.634104411,0.917431193
Si Sa Ket,0.452689184,-0.58774238,-0.500079562,1.592532333
Si Sa Ket,1.394289765,0.464312626,-0.592879786,1.604983854
Si Sa Ket,1.411656584,1.408991638,0.530872621,0.365008998
Si Sa Ket,-0.317804345,1.426415234,1.539931375,0.268507943
Si Sa Ket,-0.452399658,-0.308699922,1.558542387,0.309830082
Si Sa Ket,-0.394765404,-0.443735276,-0.294820624,0.29606536
Si Sa Ket,-0.413963817,-0.385912595,-0.439058618,0.254702181
Si Sa Ket,-0.471655311,-0.405173774,-0.377295329,0.247705115
Si Sa Ket,-0.481414502,-0.463053882,-0.397869155,0.131221723
Si Sa Ket,-0.643880278,-0.47284498,-0.459693785,0.214049372
Si Sa Ket,-0.528356013,-0.635841914,-0.470152144,0.248490592
Si Sa Ket,-0.480318955,-0.519939959,-0.644257297,0.800505699
Si Sa Ket,0.289606786,-0.47174585,-0.52045664,0.558787941
Si Sa Ket,-0.047530227,0.300697053,-0.468978109,0.296374308
Si Sa Ket,-0.41353291,-0.037542181,0.35610667,0.248021683
Si Sa Ket,-0.480972968,-0.404741458,-0.005183521,0.199696599
Si Sa Ket,-0.548374613,-0.472402002,-0.397407377,0.358025133
Si Sa Ket,-0.327545123,-0.540024007,-0.469678978,0.240936154
Si Sa Ket,-0.490855544,-0.318472547,-0.541909413,0.213352567
Si Sa Ket,-0.529327885,-0.482316888,-0.305259252,0.089404839
Si Sa Ket,-0.702204579,-0.520915009,-0.480269561,0.061871659
Si Sa Ket,-0.740606614,-0.694356898,-0.521498139,0.199347104
Si Sa Ket,-0.548862073,-0.732884484,-0.706760069,0.116823955
Si Sa Ket,-0.663961633,-0.54051306,-0.747913304,0.212921886
Si Sa Ket,-0.52992858,-0.655988923,-0.542431795,0.23338985
Si Sa Ket,-0.501380787,-0.521517667,-0.665777322,0.274421639
Si Sa Ket,-0.444151501,-0.492876542,-0.522141869,0.185180867
Si Sa Ket,-0.5686205,-0.435460153,-0.491548855,0.15085335
Si Sa Ket,-0.61649897,-0.560336085,-0.430219547,0.157668913
Si Sa Ket,-0.606992931,-0.608371088,-0.563605757,0.075405424
Si Sa Ket,-0.72173033,-0.598833969,-0.614914337,0.130220916
Si Sa Ket,-0.645276157,-0.713946486,-0.604727266,0.116467234
Si Sa Ket,-0.664459172,-0.637242357,-0.727684685,0.102768374
Si Sa Ket,-0.683565723,-0.656488089,-0.64575318,0.267225419
Si Sa Ket,-0.454188464,-0.675657105,-0.666310505,0.184975977
Si Sa Ket,-0.568906271,-0.44552993,-0.686785888,0.226030339
Si Sa Ket,-0.511645502,-0.560622791,-0.440975578,0.239649208
Si Sa Ket,-0.492650517,-0.503174815,-0.563912001,0.095811203
Si Sa Ket,-0.693269272,-0.48411773,-0.502548954,0.068404787
Si Sa Ket,-0.731494503,-0.685392378,-0.482193131,0.075237957
Si Sa Ket,-0.721963905,-0.723742582,-0.697184618,0.102589846
Si Sa Ket,-0.683814725,-0.714180825,-0.738148383,0.218892173
Si Sa Ket,-0.521601493,-0.675906922,-0.727934994,0.328327479
Si Sa Ket,-0.36896607,-0.513163356,-0.687052729,0.198284768
Si Sa Ket,-0.55034377,-0.360028913,-0.513218212,0.16403964
Si Sa Ket,-0.598107328,-0.541999602,-0.349647679,0.198224049
Si Sa Ket,-0.550428459,-0.589919317,-0.544019645,0.601424008
Si Sa Ket,0.011936634,-0.542084567,-0.595205081,0.348507772
Si Sa Ket,-0.34081951,0.022119099,-0.5441104,0.198100016
Si Sa Ket,-0.550601455,-0.331790332,0.058543667,0.075117679
Si Sa Ket,-0.722131664,-0.542258129,-0.319484642,0.334486059
Si Sa Ket,-0.360376362,-0.714349133,-0.54429579,0.184273549
Si Sa Ket,-0.569885986,-0.351411122,-0.728114771,0.184271789
Si Sa Ket,-0.569888441,-0.561605708,-0.340442586,0.273037356
Si Sa Ket,-0.446082237,-0.561608172,-0.564961904,0.436803716
Si Sa Ket,-0.217668314,-0.4373972,-0.564964536,0.136439795
Si Sa Ket,-0.636602347,-0.208236511,-0.432288604,0.095461228
Si Sa Ket,-0.693757401,-0.628540189,-0.187510645,0.122739965
Si Sa Ket,-0.65571025,-0.685882104,-0.63645796,0.122714611
Si Sa Ket,-0.655745613,-0.647710563,-0.697707718,0.368108197
Si Sa Ket,-0.313481722,-0.647746041,-0.656934792,0.586128918
Si Sa Ket,-0.009396266,-0.304363167,-0.656972689,0.660692733
Si Sa Ket,0.094601975,0.000716453,-0.29018832,0.388108888
