PROVINCE,PM10,PM10_Lag1,PM10_Lag2,PM10_Lag3,TEMP,TEMP_Lag1,TEMP_Lag2,TEMP_Lag3,VISIB,VISIB_Lag1,VISIB_Lag2,VISIB_Lag3,PRCP,PRCP_Lag1,PRCP_Lag2,PRCP_Lag3,RH,RH_Lag1,RH_Lag2,RH_Lag3,WDSP,WDSP_Lag1,WDSP_Lag2,WDSP_Lag3,Case_Lag1,Case_Lag2,Case_Lag3,Case_ratio
Bangkok Metropolis,-0.1666759467412609,1.2997632941387205,-0.3447199263880762,1.1314310449209926,1.728950790458008,0.0460998101259255,0.0460998101259255,-1.3858042926128935,1.4304795607417875,-0.0077707635291203,0.9860543468803806,-0.0009164939817916,-0.7737834659746552,-1.09630892182287,-1.1209547202243144,-0.2224304532304152,-1.0819140012064676,-1.494211835433081,0.0368712733422154,-0.2627949117133785,0.0434489694932776,-0.3543680852972614,-0.4251870176019245,-2.4837400649685377,-0.5531194721605354,0.0603948692238677,-0.2234274871248343,0.4000509538583335
Bangkok Metropolis,-0.613245574114476,-0.1649892699698008,1.3156972207831248,-0.3509351857909878,1.3910054343108411,0.6893183307154674,0.6893183307154674,0.0619743311941051,1.464691339678852,1.432934903264145,-0.0139248041928648,0.990126329173672,0.7122301626442296,-0.7749774766598706,-1.0954304943583295,-1.117817398661678,-0.0139523853872246,-1.083243169004895,-1.518229737938931,0.0413579341584635,-1.054251440472851,0.0443723847060713,-0.3524305184333344,-0.4027999723189706,-0.8624615816272063,-0.5478023567282023,0.0822874034675191,0.3614719982031683
Bangkok Metropolis,-0.557299491043111,-0.6129840672031287,-0.1542577489192729,1.300488017906916,1.2232607965557778,1.7199498210269364,1.7199498210269364,0.7004897805055712,1.379290440634757,1.4671550043274533,1.4211318503403103,-0.0105281164925521,0.4506387185688257,0.7121120708814078,-0.7742402446785283,-1.0922970133683143,-0.1427865158338265,-0.0144624885754219,-1.1039687920530254,-1.513725172548137,0.3626136572766055,-1.053017082171904,0.046083314636676,-0.3316936776670102,-0.869665912934439,-0.8582353166876139,-0.5381624767787342,0.5755060417606835
Bangkok Metropolis,-0.6187402787018423,-0.5568594393618167,-0.6038437027044057,-0.161504680429928,0.3499568057230587,1.3798578678291158,1.3798578678291158,1.7235855217594385,1.197127564747502,1.3817333312375395,1.455217774260498,1.4254976442448717,0.8137360526732443,0.4503312266691568,0.7121958643948239,-0.7711550924599944,0.5321129357331287,-0.1433954273268126,-0.0266260849620865,-1.099468996234069,-0.2120302531062811,0.3634466634372135,-1.05068241574565,0.0577813845057412,-0.8296966567783691,-0.8654650530338497,-0.8548493747332566,1.9327453718465293
Bangkok Metropolis,-0.5498067120603389,-0.6184963074375434,-0.547519735339825,-0.6086553722921031,-0.2810915625093642,1.2110477319450847,1.2110477319450847,1.38598024555519,0.595257401708816,1.1995261436396063,1.3701310398674222,1.4596065866850907,1.713990839207168,0.813691454252417,0.4505300486783735,0.7150573559290482,1.0342399336384227,0.5320216329706942,-0.1565919084571339,-0.0221386930723088,-0.5834377805069313,-0.2110344688775767,0.3649762372691181,-1.0141083858916544,-0.5762423672287903,-0.8253548510400228,-0.862224760313505,10.313814601422186
Bangkok Metropolis,-0.3839665372416508,-0.5493427481330696,-0.6093755209277127,-0.5526364936695485,-0.0656156617002028,0.3321965964721258,0.3321965964721258,1.218404411974514,0.5610307934058216,0.597509573730692,1.1886382873274897,1.3744623924823696,2.1764040161587075,1.7145980525471165,0.8137306130114885,0.4534309124769329,1.07872619689953,1.0345337331565694,0.5242359334757148,-0.1521030202126124,-1.2543745556194252,-0.5823367885161774,-0.2091783702711032,0.3694414338242835,0.9888596012748612,-0.5710067913628689,-0.8213065039292115,10.46143594869232
Bangkok Metropolis,-0.3425064935369784,-0.3829733156034671,-0.5399763468534973,-0.6141572264425327,-0.845187027502248,-0.3028601315185466,-0.3028601315185466,0.3459792412408149,-0.1190370065928622,0.5632746396941626,0.5889822266208206,1.192847076312662,0.4244339193606283,2.1773460306589314,1.714241346088584,0.8165768268413984,0.9446818573907996,1.0790541148010897,1.030773669676803,0.5287169830443175,-0.8876642426810568,-1.2530835089007013,-0.5802696483290547,-0.1916906597490261,1.016426783322509,0.9996142843081668,-0.5618343846334989,3.3571661728849373
Bangkok Metropolis,2.0022338094718264,-0.3413809574710661,-0.3730160150227771,-0.5451339652825993,-0.6976835747685035,-0.0860155480962041,-0.0860155480962041,-0.2844340926905193,-1.4964960260702955,-0.1169585890036917,0.5548815278875548,0.5927860626677166,-0.874226715157343,0.4241074543918149,2.176785989216064,1.7169520621022347,-1.9072826731830488,0.9449069710594474,1.0756507051246702,1.035248887249547,0.2519924754207544,-0.8864770731551691,-1.250635128304892,-0.5543651432919735,-0.31024244065431,1.02727867806156,1.0404281985061552,0.6910962769029836
Bangkok Metropolis,1.3998143792569528,2.010842284378197,-0.3312759320650967,-0.3790780036514562,-1.4280914345525422,-0.8705386777386617,-0.8705386777386617,-0.0691750288069569,-0.8953278971599034,-1.494752679857469,-0.1226845037989989,0.5586623354368601,-0.7967843011047432,-0.8754934498003614,0.4243177993262034,2.179427107181892,-1.1512602995627397,-1.9092448508758344,0.9404289055230308,1.0801254060080023,-0.3453000123556258,0.2528568169909051,-0.8842370650838063,-1.2095259315153208,-0.8081110452525027,-0.3040688542748088,1.0686499151779287,0.2069669277373217
Bangkok Metropolis,1.2739356923463818,1.4065003095869293,2.0293017715897275,-0.33756401324367,-1.8543122326289136,-0.7220982969754591,-0.7220982969754591,-0.8479618991846379,-1.086953389930018,-0.8934383148489279,-1.4950762589151536,-0.1193612624670421,-1.1609641898499252,-0.797994965091968,-0.8747120503352253,0.4272226072227241,-2.906536637115546,-1.1526426519494444,-1.936587592433024,0.944905163275514,-0.0918689940172682,-0.3442664771065863,0.2544492481085398,-0.8514382150772867,-0.8985185787824377,-0.8036931209572302,-0.2895187540578986,0.7751619860562038
